SHOP_ID,ORIGINAL_LONGITUDE,ORIGINAL_LATITUDE,LONGITUDE,LATITUDE,NET_LONGITUDE,NET_LATITUDE
360102100017,115.90970000,28.68553000,0E-8,0E-8,0E-8,0E-8
360102100021,115.54340000,28.40380000,0E-8,0E-8,0E-8,0E-8
360102100024,115.90118400,28.68547200,0E-8,0E-8,0E-8,0E-8
360102100034,115.91069000,28.68342000,0E-8,0E-8,0E-8,0E-8
360102100043,115.89857500,28.68433200,0E-8,0E-8,0E-8,0E-8
360102100052,115.90430000,28.68829300,0E-8,0E-8,0E-8,0E-8
360102100058,115.50340000,28.40370000,0E-8,0E-8,0E-8,0E-8
360102100064,115.90171000,28.68526800,0E-8,0E-8,0E-8,0E-8
360102100069,115.90667000,28.67881600,0E-8,0E-8,0E-8,0E-8
360102100074,115.90552000,28.68839800,0E-8,0E-8,0E-8,0E-8
360102100079,115.91327000,28.68644100,0E-8,0E-8,0E-8,0E-8
360102100086,115.90302000,28.67732400,0E-8,0E-8,0E-8,0E-8
360102100087,115.90813000,28.67725600,0E-8,0E-8,0E-8,0E-8
360102100089,115.90237400,28.68602400,0E-8,0E-8,0E-8,0E-8
360102100093,115.90325000,28.68069300,0E-8,0E-8,0E-8,0E-8
360102100102,115.90829500,28.69122300,0E-8,0E-8,0E-8,0E-8
360102100108,115.90200000,28.69435000,0E-8,0E-8,0E-8,0E-8
360102100114,115.90120000,28.69458000,0E-8,0E-8,0E-8,0E-8
360102100127,115.90420000,28.69094000,0E-8,0E-8,0E-8,0E-8
360102100139,115.90120000,28.69458000,0E-8,0E-8,0E-8,0E-8
360102100146,115.90370000,28.69439000,0E-8,0E-8,0E-8,0E-8
360102100154,115.90752000,28.69191000,0E-8,0E-8,0E-8,0E-8
360102100162,115.90271000,28.68830500,0E-8,0E-8,0E-8,0E-8
360102100177,115.90140000,28.69456000,0E-8,0E-8,0E-8,0E-8
360102100181,115.90768400,28.68954000,0E-8,0E-8,0E-8,0E-8
360102100185,115.90450000,28.69548000,0E-8,0E-8,0E-8,0E-8
360102100195,115.91400000,28.69308000,0E-8,0E-8,0E-8,0E-8
360102100206,115.89770000,28.69454000,0E-8,0E-8,0E-8,0E-8
360102100224,115.90972000,28.69134500,0E-8,0E-8,0E-8,0E-8
360102100236,115.90427000,28.68861000,0E-8,0E-8,0E-8,0E-8
360102100246,115.90300000,28.69783000,0E-8,0E-8,0E-8,0E-8
360102100248,115.90510000,28.69963000,0E-8,0E-8,0E-8,0E-8
360102100266,115.90740000,28.70054000,0E-8,0E-8,0E-8,0E-8
360102100270,115.90650000,28.69975000,0E-8,0E-8,0E-8,0E-8
360102100271,115.91170000,28.70272000,0E-8,0E-8,0E-8,0E-8
360102100280,115.91280000,28.70261000,0E-8,0E-8,0E-8,0E-8
360102100287,115.91160000,28.69828000,0E-8,0E-8,0E-8,0E-8
360102100296,115.90860000,28.70160000,0E-8,0E-8,0E-8,0E-8
360102100298,115.90710000,28.70088000,0E-8,0E-8,0E-8,0E-8
360102100299,115.90870000,28.69901000,0E-8,0E-8,0E-8,0E-8
360102100311,115.92112000,28.69320000,0E-8,0E-8,0E-8,0E-8
360102100312,115.92168000,28.69333800,0E-8,0E-8,0E-8,0E-8
360102100360,115.91611000,28.71542700,0E-8,0E-8,0E-8,0E-8
360102100386,115.92010000,28.70360000,0E-8,0E-8,0E-8,0E-8
360102100467,115.92049000,28.69434500,0E-8,0E-8,0E-8,0E-8
360102100494,115.88095000,28.67856200,0E-8,0E-8,0E-8,0E-8
360102100509,115.87874600,28.68150700,0E-8,0E-8,0E-8,0E-8
360102100510,115.88640600,28.68111400,0E-8,0E-8,0E-8,0E-8
360102100512,115.88010000,28.68401000,0E-8,0E-8,0E-8,0E-8
360102100515,115.88125600,28.68380000,0E-8,0E-8,0E-8,0E-8
360102100516,115.88602400,28.68353300,0E-8,0E-8,0E-8,0E-8
360102100520,115.88167000,28.68118000,0E-8,0E-8,0E-8,0E-8
360102100522,115.88082000,28.68235800,0E-8,0E-8,0E-8,0E-8
360102100532,115.87850000,28.68033000,0E-8,0E-8,0E-8,0E-8
